Player,Points,Has Rush Yards,Has Receiving Yards,Has Rush TD
Jonathan Taylor,256.05,TRUE,TRUE,TRUE
Najee Harris,217.05,TRUE,TRUE,TRUE
Derrick Henry,216.05,TRUE,,TRUE
Christian McCaffrey,210.55,TRUE,TRUE,TRUE
Dalvin Cook,207.05,TRUE,TRUE,TRUE
Joe Mixon,198.05,TRUE,TRUE,TRUE
Austin Ekeler,191.05,TRUE,TRUE,TRUE
Nick Chubb,183.05,TRUE,,TRUE
D'Andre Swift,179.05,TRUE,TRUE,TRUE
Saquon Barkley,175.05,TRUE,TRUE,TRUE
Cam Akers,173.55,TRUE,TRUE,TRUE
Javonte Williams,170.05,TRUE,TRUE,TRUE
Aaron Jones,169.05,TRUE,TRUE,TRUE
Elijah Mitchell,140.05,TRUE,,TRUE
James Conner,139.55,TRUE,,TRUE
Ezekiel Elliott,138.55,TRUE,,TRUE
Travis Etienne,135.55,TRUE,TRUE,TRUE
Damien Harris,133.55,TRUE,,TRUE
Antonio Gibson,131.95,TRUE,,TRUE
Miles Sanders,129.05,TRUE,,TRUE
Josh Jacobs,120.05,TRUE,,TRUE
Rashaad Penny,119.05,TRUE,,TRUE
Breece Hall,116.05,TRUE,,TRUE
AJ Dillon,114.05,TRUE,,TRUE
Devin Singletary,108.05,TRUE,,TRUE
Clyde Edwards-Helaire,103.05,TRUE,,TRUE
Tony Pollard,91.05,TRUE,,TRUE
David Montgomery,90.05,TRUE,,
