Player,Has Receiving Yards,Points,Has Reception Count
Justin Jefferson,TRUE,186.3,TRUE
Cooper Kupp,TRUE,185.8,TRUE
Davante Adams,TRUE,169.8,TRUE
Stefon Diggs,TRUE,169.8,TRUE
Ja'Marr Chase,TRUE,167.3,TRUE
CeeDee Lamb,TRUE,162.8,TRUE
Keenan Allen,TRUE,155.3,TRUE
DJ Moore,TRUE,150.3,TRUE
Michael Pittman,TRUE,145.3,TRUE
Tyreek Hill,TRUE,142.8,TRUE
Diontae Johnson,TRUE,142.8,TRUE
Mike Evans,TRUE,141.8,TRUE
Terry McLaurin,TRUE,137.8,TRUE
A.J. Brown,TRUE,137.8,TRUE
Brandin Cooks,TRUE,136.3,TRUE
Jaylen Waddle,TRUE,135.3,TRUE
Tee Higgins,TRUE,135.3,TRUE
Darnell Mooney,TRUE,132.8,TRUE
Mike Williams,TRUE,132.8,TRUE
Deebo Samuel,TRUE,130.3,TRUE
Jerry Jeudy,TRUE,126.8,TRUE
Marquise Brown,TRUE,124.8,TRUE
Amon-Ra St.,TRUE,124.3,TRUE
DK Metcalf,TRUE,123.3,TRUE
Courtland Sutton,TRUE,121.3,TRUE
Rashod Bateman,TRUE,120.3,TRUE
DeVonta Smith,TRUE,118.8,TRUE
Hunter Renfrow,TRUE,118.8,TRUE
Allen Robinson,TRUE,118.3,TRUE
Gabriel Davis,TRUE,117.8,TRUE
Christian Kirk,TRUE,117.3,TRUE
Tyler Lockett,TRUE,116.8,TRUE
Tyler Boyd,TRUE,114.8,TRUE
Elijah Moore,TRUE,112.3,TRUE
Robert Woods,TRUE,112.3,TRUE
Treylon Burks,TRUE,110.8,TRUE
Adam Thielen,TRUE,109.8,TRUE
Jakobi Meyers,TRUE,107.8,TRUE
Brandon Aiyuk,TRUE,106.3,TRUE
Allen Lazard,TRUE,103.3,TRUE
Chase Claypool,TRUE,101.8,TRUE
Skyy Moore,TRUE,93.3,TRUE
Jahan Dotson,TRUE,85.9,TRUE
Drake London,TRUE,76.45,
Garrett Wilson,TRUE,74.95,
Chris Olave,TRUE,71.95,
